Vocabulary Word,Example Sentence (Swedish),Example Sentence (English)
ödmjuk,"Han är alltid ödmjuk, oavsett framgångar.","He is always humble, regardless of success."
i natt,Jag sov bra i natt.,I slept well overnight.
en klarhet,Vi behöver en klarhet i denna fråga.,We need a clarity in this matter.
långsiktigt,Vi måste tänka långsiktigt för att nå våra mål.,We need to think long-term to achieve our goals.
att anstränga,Jag måste anstränga mig för att klara provet.,I have to exert myself to pass the exam.
generös,Hon är alltid generös mot sina vänner.,She is always generous to her friends.
ett mellanrum,Det finns ett mellanrum mellan stolarna.,There is a gap between the chairs.
ett sken,Det var ett sken av hopp i hennes ögon.,There was an appearance of hope in her eyes.
en upplösning,En upplösning av problemet kom snabbt.,A dissolution of the problem came quickly.
en vistelse,Jag ser fram emot min vistelse i Stockholm.,I look forward to my stay in Stockholm.
att växla,Jag behöver växla några dollar till kronor.,I need to exchange some dollars for kronor.
strukturell,Strukturell förändring är viktig för samhällets utveckling.,Structural change is important for society's development.
att förvärva,Jag vill förvärva en ny bil.,I want to acquire a new car.
en regi,En regi kan göra stor skillnad i en film.,A direction can make a big difference in a film.
en redogörelse,Hon gav en redogörelse för sin resa.,She gave a report of her trip.
en statsmakt,En statsmakt har ansvar för lagar och regler.,A governmental power is responsible for laws and regulations.
en etta,Jag bor i en etta i stan.,I live in a one-room apartment in the city.
relativ,Släktingar är alltid relativt viktiga i livet.,Relatives are always relatively important in life.
en vindkraft,En vindkraft kan ge oss ren energi.,A wind power can give us clean energy.
imperialistisk,Imperialistisk politik påverkar många länder.,Imperialist policy affects many countries.
en måltid,En måltid är alltid trevlig att dela med vänner.,A meal is always nice to share with friends.
till synes,"Till synes är han glad, men jag tror att han är ledsen.","Apparently, he is happy, but I think he is sad."
att belöna,Jag vill belöna dig för ditt hårda arbete.,I want to reward you for your hard work.
att importera,Vi planerar att importera varor från Sverige.,We plan to import goods from Sweden.
en liter,Jag köpte en liter mjölk.,I bought a litre of milk.
rentav,Det är rentav en fantastisk dag idag.,It is indeed a fantastic day today.
en stormakt,Sverige var en stormakt för länge sedan.,Sweden was a great power a long time ago.
samtida,Samtida konst är ofta inspirerande.,Contemporary art is often inspiring.
legal,Det är viktigt att följa legal regler.,It is important to follow legal rules.
principiell,Det är en principiell fråga för oss alla.,It is a question of principle for all of us.
en valfrihet,Vi har en valfrihet att välja vår egen väg.,We have a freedom of choice to choose our own path.
en tydlighet,En tydlighet i texten gör den lättare att förstå.,A clarity in the text makes it easier to understand.
en växthusgas,Koldioxid är en växthusgas som påverkar klimatet.,Carbon dioxide is a greenhouse gas that affects the climate.
ett evenemang,Vi ska gå på ett evenemang i helgen.,We are going to an event this weekend.
ett lösenord,Jag glömde mitt lösenord igen.,I forgot my password again.
en dialekt,Hon pratar en dialekt som är svår att förstå.,She speaks a dialect that is hard to understand.
att behärska,Att behärska språket tar tid och övning.,Mastering the language takes time and practice.
en föregångare,En föregångare inom teknologi förändrade världen.,A precursor in technology changed the world.
en homosexualitet,En homosexualitet är en del av mångfalden i vårt samhälle.,A homosexuality is a part of the diversity in our society.
seg,Den här gummibjörnen är seg och svår att bita sönder.,This gummy bear is tough and hard to bite through.
en licens,Jag behöver en licens för att köra bil.,I need a license to drive a car.
platt,Min TV är platt och hänger på väggen.,My TV is flat and hangs on the wall.
en iver,Hon arbetar med en iver för att hjälpa andra.,She works with a zeal to help others.
en resenär,En resenär behöver alltid ett giltigt pass.,A traveler always needs a valid passport.
att utrota,Vi måste utrota sjukdomen för att rädda liv.,We must eradicate the disease to save lives.
att uppfinna,Barn älskar att uppfinna nya leksaker.,Children love to invent new toys.
en cup,Vi vann en cup i fotboll.,We won a cup in football.
omvänd,Omvänd bilen för att parkera.,Reverse the car to park.
en dagordning,Vi behöver en dagordning för mötet.,We need an agenda for the meeting.
perfekt,Det här är perfekt!,This is perfect!
en splittring,En splittring i gruppen gjorde att vi inte kunde arbeta tillsammans.,A disruption in the group meant we couldn't work together.
att inbilla,Hon inbillade sig att hon kunde flyga.,She imagined that she could fly.
att avge,Växter avger syre under dagen.,Plants emit oxygen during the day.
ett partnerskap,Vi har ett partnerskap som hjälper oss att växa.,We have a partnership that helps us grow.
att löna sig,Det lönar sig att spara pengar för framtiden.,It is profitable to save money for the future.
brutal,Den filmen var brutal och skrämmande.,That movie was brutal and scary.
att konstruera,Vi ska konstruera en ny bro i stan.,We are going to construct a new bridge in the city.
en ärlighet,En ärlighet är viktig i en vänskap.,Honesty is important in a friendship.
bekväm,Soffan är så bekväm att jag alltid somnar där.,The couch is so comfortable that I always fall asleep there.
en presskonferens,Det kommer att hållas en presskonferens i morgon.,There will be a press conference tomorrow.
osannolik,Det känns osannolikt att det regnar i sommar.,It feels unlikely that it will rain this summer.
totalitär,Ett totalitärt styre kan vara mycket farligt.,A totalitarian regime can be very dangerous.
att åtgärda,Vi måste åtgärda problemet innan det blir värre.,We need to address the problem before it gets worse.
en flickvän,Min flickvän älskar att laga mat.,My girlfriend loves to cook.
norrut,Vi åker norrut till fjällen.,We are going northwards to the mountains.
ett arbetstillfälle,Jag fick ett arbetstillfälle som jag inte kan missa.,I got a job opportunity that I can't miss.
ett inträde,Ett inträde till konserten kostar hundra kronor.,An entrance to the concert costs one hundred kronor.
att släpa,Jag måste släpa den tunga lådan över golvet.,I have to drag the heavy box across the floor.
ett övervägande,Jag gjorde ett övervägande innan jag bestämde mig.,I made a consideration before I made my decision.
en skilsmässa,"En skilsmässa kan vara svår, men det blir bättre med tiden.","A divorce can be hard, but it gets better with time."
att utforska,Jag älskar att utforska nya platser.,I love to explore new places.
bildande,Bildande aktiviteter är viktiga för barn.,Educational activities are important for children.
en tyngd,En tyngd hänger i luften när vi pratar om våra drömmar.,A weight hangs in the air when we talk about our dreams.
en frälsare,Jesus är en frälsare för många troende.,Jesus is a savior for many believers.
att invadera,Fjällen invaderades av många turister i somras.,The mountains were invaded by many tourists last summer.
en personuppgift,En personuppgift måste skyddas noggrant.,Personal data must be protected carefully.
en förhand,Vi behöver planera en förhand för att undvika problem.,We need to plan in advance to avoid problems.
en gruppering,Vi behöver en gruppering för att organisera våra idéer.,We need a grouping to organize our ideas.
tekniskt,Tekniskt sett är det en bra idé.,"Technically speaking, it's a good idea."
en dagstidning,Jag läser en dagstidning varje morgon.,I read a daily newspaper every morning.
oacceptabel,Det är oacceptabelt att vara oartig mot andra.,It is unacceptable to be rude to others.
en serb,Han träffade en serb på festen.,He met a Serb at the party.
flytande,Språket blir mer flytande med övning.,The language becomes more fluent with practice.
att justera,Vi måste justera protokollet innan vi skickar det.,We need to adjust the protocol before we send it.
en adel,En adel hade stor makt i det förflutna.,A nobility had great power in the past.
en konsult,Jag behöver hjälp av en konsult.,I need help from a consultant.
nervös,Jag känner mig nervös inför provet.,I feel nervous before the exam.
en sekt,En sekt kan vara farlig för människor.,A sect can be dangerous for people.
en slöja,Hon bar en slöja på bröllopet.,She wore a veil at the wedding.
välkommen,Välkommen till vårt hem!,Welcome to our home!
att läcka,Vattnet började läcka från taket.,The water started to leak from the roof.
en afton,Vi ska fira en afton med våra vänner.,We will celebrate an evening with our friends.
en introduktion,En introduktion till svenska språket är spännande.,An introduction to the Swedish language is exciting.
en livstid,En livstid är kortare än vi tror.,A lifetime is shorter than we think.
en demonstrant,En demonstrant håller en skylt.,A demonstrator is holding a sign.
en flexibilitet,En flexibilitet i arbetsschemat är viktigt.,A flexibility in the work schedule is important.
en hed,Vi gick på en hed och njöt av utsikten.,We walked on a moor and enjoyed the view.
ett kol,Ett kol brinner i elden.,A coal burns in the fire.
en uppväxt,Jag minns min uppväxt med glädje.,I remember my childhood with joy.
att efterlysa,Jag vill efterlysa min försvunna katt.,I want to inquire about my missing cat.
en grönsak,Morot är en grönsak.,Carrot is a vegetable.
att samordna,Vi måste samordna våra scheman för att träffas.,We need to coordinate our schedules to meet.
ett järn,Ett järn är starkt och hållbart.,An iron is strong and durable.
en distribution,En distribution av böcker är viktig för skolan.,A distribution of books is important for the school.
automatisk,Det finns en automatisk dörr på hotellet.,There is an automatic door at the hotel.
en transaktion,Jag gjorde en transaktion på banken idag.,I made a transaction at the bank today.
ett däck,Ett däck rullar snabbt på vägen.,A tire rolls quickly on the road.
en observation,En observation av fåglar kan vara mycket intressant.,An observation of birds can be very interesting.
typiskt,Typiskt svenskt väder är kallt och regnigt.,Typically Swedish weather is cold and rainy.
en inskränkning,En inskränkning av friheten är aldrig bra.,A limitation of freedom is never good.
att mata,Jag ska mata katten nu.,I will feed the cat now.
ett paradis,Det här stället är ett paradis för alla som älskar naturen.,This place is a paradise for everyone who loves nature.
en ingenjör,Min vän är en ingenjör.,My friend is an engineer.
en koncentration,Jag behöver en koncentration för att studera.,I need a concentration to study.
ett plus,Ett plus för mig är att jag får träffa nya människor.,A plus for me is that I get to meet new people.
ett dugg,"Det spelar ingen roll, jag bryr mig inte ett dugg.","It doesn't matter, I don't care a jot."
en samtid,Konstnärer skapar ofta verk som speglar en samtid.,Artists often create works that reflect a contemporary time.
en uppståndelse,Det blev en uppståndelse när filmen slutade.,There was an uproar when the movie ended.
ett slaveri,Ett slaveri är en grymhet mot människan.,A slavery is a cruelty against humanity.
att ålägga,Domaren ålade honom att betala böter.,The judge enjoined him to pay a fine.
att framkalla,Det kan vara svårt att framkalla gamla minnen ibland.,It can be difficult to summon old memories sometimes.
ett utkast,Jag behöver skriva ett utkast till min uppsats.,I need to write a draft for my essay.
framträdande,Hans framträdande tal gjorde ett stort intryck på publiken.,His prominent speech made a big impression on the audience.
desperat,Hon kände sig desperat efter att ha letat hela dagen.,She felt desperate after searching all day.
någon som helst,Jag kan hjälpa någon som helst.,I can help anyone.
flitigt,Hon studerar flitigt varje dag.,She studies diligently every day.
en offensiv,Lagets offensiv var mycket stark i matchen.,The team's offensive was very strong in the match.
en sångare,En sångare sjunger vackert på scenen.,A singer sings beautifully on stage.
ett ingrepp,Ett ingrepp kan vara nödvändigt för att förbättra hälsan.,A procedure may be necessary to improve health.
otalig,Det finns otaliga stjärnor på natthimlen.,There are countless stars in the night sky.
ett diagram,Jag ritade ett diagram för min presentation.,I drew a diagram for my presentation.
att inbjuda,Jag vill inbjuda mina vänner till min födelsedag.,I want to invite my friends to my birthday.
en motivation,En motivation kan hjälpa dig att nå dina mål.,A motivation can help you reach your goals.
att utplåna,Vi måste utplåna allt hat i världen.,We must exterminate all hate in the world.
en gymnasieskola,Jag går till en gymnasieskola varje dag.,I go to a secondary school every day.
att bearbeta,Vi måste bearbeta träet innan vi bygger bordet.,We need to work the wood before we build the table.
en förlåtelse,Jag bad om en förlåtelse för mitt misstag.,I asked for a pardon for my mistake.
att snurra,Barnet snurrar runt i trädgården.,The child spins around in the garden.
en skildring,En skildring av naturen kan vara vacker.,A depiction of nature can be beautiful.
en sändning,Jag såg en sändning om djur på TV.,I watched a broadcast about animals on TV.
en baby,En baby sover i vagnen.,A baby is sleeping in the stroller.
att förvara,Jag behöver ett skåp att förvara mina böcker i.,I need a cabinet to store my books in.
en rabatt,Jag köpte blommor till rabatten.,I bought flowers for the flower bed.
att rota,Katten gillar att rota i blomkrukan.,The cat likes to poke around in the flower pot.
en apa,En apa sitter i trädet.,A monkey sits in the tree.
att sammanställa,Jag ska sammanställa en lista över böcker.,I will compile a list of books.
att stirra,Han gillar att stirra på stjärnorna.,He likes to stare at the stars.
ett avgörande,Det var ett avgörande ögonblick för vårt lag.,It was a deciding moment for our team.
en manifestation,En manifestation av kärlek kan förändra världen.,A manifestation of love can change the world.
att uppenbara,Hon vill uppenbara sanningen för alla.,She wants to reveal the truth to everyone.
att maila,Jag ska maila dig informationen senare.,I will email you the information later.
en medmänniska,En medmänniska hjälper alltid i svåra tider.,A fellow human being always helps in difficult times.
ett genombrott,Det var ett genombrott för forskarna.,It was a breakthrough for the researchers.
proletär,Proletären arbetar hårt för att försörja sin familj.,The proletarian works hard to support his family.
en fika,Vi ska ta en fika på kaféet efter jobbet.,We will have a snack and coffee at the café after work.
en spaning,Polisen gjorde en spaning efter den försvunna personen.,The police conducted a search for the missing person.
att beordra,Chefen beordrade oss att slutföra projektet snabbt.,The boss ordered us to finish the project quickly.
att förbinda,Jag måste förbinda mitt sår med ett bandage.,I need to bandage my wound with a bandage.
jämförbar,Denna bil är jämförbar med min gamla bil.,This car is comparable to my old car.
socialt,Det är viktigt att vara socialt aktiv.,It is important to be socially active.
att fullgöra,Han måste fullgöra sina plikter varje dag.,He must fulfill his duties every day.
förr eller senare,Förr eller senare kommer vi att träffas igen.,"Sooner or later, we will meet again."
en palm,En palm växer vid stranden.,A palm tree grows by the beach.
en förvirring,Det var en förvirring i rummet när alla pratade samtidigt.,There was a confusion in the room when everyone was talking at the same time.
en privatisering,En privatisering kan ge mer effektivitet.,A privatization can lead to more efficiency.
en chock,Det var en chock när jag hörde nyheterna.,It was a shock when I heard the news.
oundviklig,Det är oundviklig att vi alla måste växa upp.,It is inevitable that we all must grow up.
ett samtycke,Vi behöver ett samtycke för att börja projektet.,We need a consent to start the project.
ett förband,Jag behöver ett förband för mitt sår.,I need a bandage for my wound.
att missbruka,Det är fel att missbruka alkohol.,It is wrong to abuse alcohol.
att förvärra,Att förvärra en redan dålig situation är aldrig en bra idé.,To make an already bad situation even worse is never a good idea.
en investerare,En investerare söker alltid efter bra möjligheter.,An investor is always looking for good opportunities.
vackert,Himlen är vacker idag.,The sky is beautiful today.
utbredd,Många har en utbredd åsikt om att klimatförändringar är ett viktigt ämne.,Many have a widely held opinion that climate change is an important issue.
en bio,Vi går till en bio ikväll.,We are going to a cinema tonight.
en oförmåga,Hans oförmåga att simma gör honom nervös vid sjön.,His inability to swim makes him nervous by the lake.
sammanlagd,Den sammanlagda kostnaden är högre än vi trodde.,The total cost is higher than we thought.
en klippa,En klippa står stadigt mot stormen.,A rock stands firm against the storm.
en cd,Jag lyssnar på en cd varje kväll.,I listen to a CD every evening.
en knut,Jag knöt en knut på snöret.,I tied a knot in the string.
en fras,Jag har lärt mig en fras på svenska.,I have learned a phrase in Swedish.
att indikera,Det är viktigt att indikera dina känslor.,It is important to indicate your feelings.
vardera,Vardera person fick en gåva.,Each person received a gift.
en arrangör,En arrangör planerar alltid detaljerna noggrant.,An organizer always plans the details carefully.
en profetia,En profetia kan förändra framtiden.,A prophecy can change the future.
därutöver,Därutöver gillar jag att läsa böcker.,"Additionally, I like to read books."
att förnya,Vi behöver förnya våra möbler i vardagsrummet.,We need to renew our furniture in the living room.
hederlig,Han är en hederlig man.,He is an honest man.
att inhämta,Jag behöver inhämta information för mitt projekt.,I need to obtain information for my project.
skånsk,Skånsk mat är väldigt god.,Skåne food is very tasty.
abstrakt,Konsten kan vara abstrakt.,Art can be abstract.
att dämpa,Musik kan dämpa stress och oro.,Music can dampen stress and anxiety.
en tillhörighet,Jag känner en tillhörighet till min hemstad.,I feel a belonging to my hometown.
en möbel,Jag behöver köpa en möbel till mitt rum.,I need to buy a piece of furniture for my room.
ringa,Hans hus är litet och ringa.,His house is small and poor.
en sky,En sky av stjärnor lyste över oss.,A sky of stars shone above us.
en anvisning,Följ anvisningen för att laga maten rätt.,Follow the instructions to cook the food correctly.
en hatt,Jag har en hatt på mitt huvud.,I have a hat on my head.
tokig,Hon är tokig i hästar.,She is crazy about horses.
ett förvärv,Vi gjorde ett förvärv av ett litet företag.,We made an acquisition of a small company.
med flera,"Jag träffade Anna, Lars, med flera vänner igår.","I met Anna, Lars, and several friends yesterday."
omgående,Vi behöver svara omgående på mejlet.,We need to reply immediately to the email.
ett bedrägeri,Ett bedrägeri kan kosta dig mycket pengar.,A fraud can cost you a lot of money.
att mobilisera,Vi måste mobilisera våra resurser för att hjälpa dem.,We must mobilize our resources to help them.
en signatur,Min mamma har alltid en signatur på sina brev.,My mom always has a signature on her letters.
skälig,Det är skälig att begära en rimlig lön för ditt arbete.,It is reasonable to ask for a fair salary for your work.
att expandera,Företaget planerar att expandera till nya marknader.,The company plans to expand to new markets.
att förkunna,Pastorn förkunnar kärlek och hopp varje söndag.,The pastor preaches love and hope every Sunday.
att böja,Vi måste böja verben för att förstå grammatiken.,We need to conjugate the verbs to understand the grammar.
att förenkla,Det är viktigt att förenkla svåra idéer.,It is important to simplify difficult ideas.
att viga,Vi ska viga oss i sommar.,We will marry this summer.
en justitieminister,En justitieminister måste se till att lagarna följs.,A justice minister must ensure that the laws are followed.
en fjärdedel,Jag har ätit en fjärdedel av kakan.,I have eaten a quarter of the cake.
en substans,En substans kan vara både fast och flytande.,A substance can be both solid and liquid.
att tömma,Jag måste tömma min ryggsäck.,I need to empty my backpack.
att utmärka,Hon vill utmärka sig i sitt arbete.,She wants to distinguish herself in her work.
ende,Hon är den ende vännen jag har.,She is the only friend I have.
en förnyelse,En förnyelse i livet kan vara spännande.,A renewal in life can be exciting.
subjektiv,Det är subjektivt vad som är vackert.,It is subjective what is beautiful.
en burk,Jag har en burk med sylt i skafferiet.,I have a jar of jam in the pantry.
human,Human behandling är viktigt för alla.,Humane treatment is important for everyone.
att mista,Jag vill inte mista min bästa vän.,I don’t want to lose my best friend.
en sanktion,En sanktion kan påverka handeln mellan länder.,A sanction can affect trade between countries.
fler och fler,Fler och fler människor går till gymmet.,More and more people are going to the gym.
en omsättning,Företaget har en omsättning på miljoner kronor varje år.,The company has a turnover of millions of kronor every year.
att besitta,Hon besitter stor kunskap om historia.,She possesses great knowledge of history.
att initiera,Vi behöver att initiera ett nytt projekt.,We need to initiate a new project.
ett skrivande,Ett skrivande kan vara en bra terapi.,A writing can be a good therapy.
ett hänseende,Det finns ett hänseende i varje argument som vi måste överväga.,There is an aspect in every argument that we must consider.
att härstamma,Många språk härstammar från samma ursprung.,Many languages originate from the same root.
en censur,Censur kan begränsa yttrandefriheten.,Censorship can limit freedom of speech.
ett kollektiv,Vi bor tillsammans i ett kollektiv.,We live together in a collective.
att promenera,Vi ska promenera i parken idag.,We are going to walk in the park today.
att supa,Han gillar att supa med sina vänner på helgerna.,He likes to drink alcohol with his friends on the weekends.
en legitimitet,En legitimitet är viktig för varje regering.,A legitimacy is important for every government.
ett befäl,Ett befäl leder soldaterna i strid.,A commanding officer leads the soldiers in battle.
en sökande,En sökande kom till intervjun idag.,An applicant came to the interview today.
en pojkvän,Jag har en pojkvän som heter Erik.,I have a boyfriend named Erik.
att poängtera,Jag vill poängtera att vi måste samarbeta.,I want to emphasize that we need to cooperate.
en överträdelse,En överträdelse av reglerna kan leda till straff.,A transgression of the rules can lead to punishment.
en klimatfråga,En klimatfråga påverkar hela världen.,A climate problem affects the whole world.
ett telefonsamtal,Jag fick ett telefonsamtal från min vän.,I received a telephone call from my friend.
en beredskap,Vi måste alltid ha en beredskap för oväntade händelser.,We must always have a readiness for unexpected events.
en vers,Jag skrev en vers om våren.,I wrote a verse about spring.
en monarki,Sverige är en monarki med en kung.,Sweden is a monarchy with a king.
att ockupera,Soldaterna började att ockupera staden efter striden.,The soldiers began to occupy the city after the battle.
skum,Skummet på havet glittrade i månskenet.,The foam on the sea sparkled in the moonlight.
en turism,Turism är viktigt för ekonomin.,Tourism is important for the economy.
en befrielse,En befrielse från stress är viktig för vår hälsa.,A release from stress is important for our health.
"en byxa, byxor",Jag köpte en ny byxa igår.,I bought a new pair of pants yesterday.
att rekrytera,Vi behöver att rekrytera fler medarbetare till vårt team.,We need to recruit more employees to our team.
ett sökande,Ett sökande efter lycka kan ibland vara svårt.,A quest for happiness can sometimes be difficult.
en förmögenhet,Hon ärver en förmögenhet från sin far.,She inherits a fortune from her father.
gången,Gången var mycket trevlig.,The past was very pleasant.
liksom,Han sjunger liksom en professionell sångare.,He sings just like a professional singer.
ett äpple,Jag äter ett äpple varje dag.,I eat an apple every day.
en höjdpunkt,Konserten var en höjdpunkt för hela året.,The concert was a highlight of the whole year.
en sammanställning,Jag gjorde en sammanställning av våra bästa recept.,I made a compilation of our best recipes.
en underhållning,En underhållning kan vara en bra film.,An entertainment can be a good movie.
en uppbyggnad,Det finns en uppbyggnad av nya bostäder i staden.,There is a construction of new housing in the city.
ett etablissemang,Ett etablissemang kan påverka många beslut i samhället.,An establishment can influence many decisions in society.
kontinuerligt,Vi lär oss kontinuerligt nya saker.,We continuously learn new things.
att krama,Jag älskar att krama mina vänner.,I love to hug my friends.
ett missförstånd,Det var ett missförstånd mellan oss.,There was a misunderstanding between us.
nationalistisk,Nationalistisk politik kan skapa spänningar.,Nationalist politics can create tensions.
en obalans,Det finns en obalans i projektet som vi måste åtgärda.,There is an imbalance in the project that we need to address.
ett nyår,Ett nyår är en tid för nya början.,A new year is a time for new beginnings.
produktiv,Jag vill vara mer produktiv på jobbet.,I want to be more productive at work.
att komma till rätta,Jag hoppas att min bok kommer till rätta snart.,I hope my book turns up soon.
en avveckling,Företaget planerar en avveckling av sin verksamhet.,The company plans a liquidation of its operations.
att provocera,Han gillar att provocera sina vänner för att få dem att skratta.,He likes to provoke his friends to make them laugh.
erfaren,Hon är en erfaren lärare.,She is an experienced teacher.
blank,Hennes skor var så blanka att de speglade ljuset.,Her shoes were so shiny that they reflected the light.
en singel,Jag lyssnar på en singel som är väldigt bra.,I am listening to a single that is very good.
en försörjning,Det är viktigt att ha en försörjning för att kunna leva bra.,It is important to have a provision to live well.
irländsk,Jag älskar irländsk musik.,I love Irish music.
en kurd,En kurd är stolt över sin kultur.,A Kurd is proud of their culture.
en psykolog,Jag ska träffa en psykolog imorgon.,I will meet a psychologist tomorrow.
att samtala,Vi gillar att samtala om våra drömmar.,We like to discuss our dreams.
ett sekel,Ett sekel har gått sedan vi såg en sådan förändring.,A century has passed since we saw such a change.
federal,Federal lagar gäller i hela landet.,Federal laws apply throughout the country.
en frustration,En frustration kan ibland vara svår att hantera.,A frustration can sometimes be hard to manage.
fundamental,Det är fundamentalt att förstå grunderna.,It is fundamental to understand the basics.
att omge,Träd omger sjön med sina gröna blad.,Trees surround the lake with their green leaves.
att företa,Jag måste företa en resa till Stockholm.,I have to undertake a trip to Stockholm.
ett utdrag,Jag läste ett utdrag ur boken igår.,I read an excerpt from the book yesterday.
fram och tillbaka,Han gick fram och tillbaka på stranden.,He walked back and forth on the beach.
lågt,Han talade lågt för att inte väcka barnet.,He spoke lowly to avoid waking the baby.
ett skal,Ett skal skyddar frukten från skador.,A shell protects the fruit from damage.
irakisk,Han är irakisk och bor i Sverige.,He is Iraqi and lives in Sweden.
en parallell,Det finns en parallell mellan konst och musik.,There is a parallel between art and music.
ett avslag,Jag fick ett avslag på mitt jobbansökan.,I received a rejection on my job application.
emellanåt,Jag går emellanåt på bio med mina vänner.,I occasionally go to the movies with my friends.
en källare,Jag har en källare där jag förvarar mina cyklar.,I have a cellar where I store my bicycles.
en merpart,En merpart av befolkningen älskar att resa.,A bulk of the population loves to travel.
en vetskap,Jag har en vetskap om vad som händer i staden.,I have knowledge of what is happening in the city.
en delägare,Sara är en delägare i företaget.,Sara is a part owner of the company.
en distans,Jag kan se en distans mellan oss.,I can see a distance between us.
att eliminera,Vi måste eliminera alla onödiga kostnader.,We need to eliminate all unnecessary expenses.
i motsats till,"Jag älskar sommar, i motsats till vinter.","I love summer, in contrast to winter."
en tolerans,En tolerans är viktig i samhället.,A tolerance is important in society.
en krigare,En krigare kämpar för sitt folk.,A warrior fights for his people.
att bosätta,Vi planerar att bosätta oss i Stockholm nästa år.,We plan to settle down in Stockholm next year.
att filma,Jag älskar att filma mina resor.,I love to film my travels.
ett upplägg,Ett upplägg för festen är klart.,A plan for the party is ready.
en föda,En föda är viktig för vår hälsa.,Food is important for our health.
en överläggning,Vi hade en överläggning om framtiden.,We had a discussion about the future.
en miss,Han gjorde en miss på provet.,He made a mistake on the exam.
en moské,Vi besöker en moské i staden.,We are visiting a mosque in the city.
en passion,Jag har en passion för att måla.,I have a passion for painting.
en zon,Vi måste gå in i en zon utan störningar.,We need to enter a zone without interruptions.
en tunga,Jag har en tunga som gör ont.,I have a tongue that hurts.
vass,Kniven är vass och skär lätt genom brödet.,The knife is sharp and cuts easily through the bread.
en klient,En klient väntar på sitt möte.,A client is waiting for their appointment.
att spana,Jag spana efter en ny bok på biblioteket.,I am on the lookout for a new book at the library.
en utbetalning,Jag väntar på en utbetalning från jobbet.,I am waiting for a pay-out from work.
obetydlig,Det är en obetydlig detalj.,It is an insignificant detail.
kurdisk,Kurdisk mat är mycket god.,Kurdish food is very good.
en relevans,En relevans i vårt samtal är viktig.,A relevance in our conversation is important.
förutsatt att,"Vi går på picknick, förutsatt att det inte regnar.","We will go on a picnic, provided that it doesn't rain."
att motarbeta,Vi måste motarbeta orättvisor i samhället.,We must oppose injustices in society.
en påtryckning,En påtryckning från medborgarna kan förändra politiken.,Pressure from the citizens can change politics.
efterföljande,Efterföljande vecka ska vi åka till Stockholm.,The following week we will go to Stockholm.
ett nyhetsbrev,Jag läser ett nyhetsbrev varje vecka.,I read a newsletter every week.
ett årsskifte,Vi firar ett årsskifte med fest och fyrverkerier.,We celebrate a turn of the year with a party and fireworks.
en avvikelse,Det finns en avvikelse i resultaten från undersökningen.,There is an anomaly in the results of the survey.
att tilltala,Den nya filmen tilltalar många ungdomar.,The new movie appeals to many young people.
ett stift,Jag behöver ett stift för att rita.,I need a pencil to draw.
hemlös,En hemlös man sitter på gatan.,A homeless man is sitting on the street.
att splittra,Att splittra en grupp kan vara svårt.,To split a group can be difficult.
att bosätta sig,Vi planerar att bosätta oss i Stockholm nästa år.,We plan to settle down in Stockholm next year.
en bekräftelse,Jag behöver en bekräftelse på min bokning.,I need a confirmation of my booking.
en försvarsminister,En försvarsminister måste fatta svåra beslut.,A defence minister has to make tough decisions.
att dokumentera,Jag behöver dokumentera mina resor.,I need to document my travels.
en lydnad,En lydnad är viktig för alla hundar.,Obedience is important for all dogs.
en tragedi,En tragedi kan förändra liv för alltid.,A tragedy can change lives forever.
en organism,En organism kan vara mycket liten.,An organism can be very small.
en socialtjänst,En socialtjänst hjälper familjer i nöd.,Social services help families in need.
att tillskriva,Det är fel att tillskriva alla problem till vädret.,It is wrong to attribute all problems to the weather.
en humanist,En humanist älskar att läsa böcker om mänskliga rättigheter.,A humanist loves to read books about human rights.
snett,Boken ligger snett på bordet.,The book is askew on the table.
en firma,En firma kan hjälpa dig att starta ditt eget företag.,A firm can help you start your own business.
en förankring,Vi behöver en förankring för att nå enighet.,We need a consensus to reach an agreement.
en reporänta,Reporäntan påverkar låneräntorna i landet.,The prime rate affects loan interest rates in the country.
sekulär,Sverige är ett sekulärt land.,Sweden is a secular country.
fortsättningsvis,Fortsättningsvis kommer vi att träffas varje vecka.,"Henceforth, we will meet every week."
att erfara,Jag vill erfara mer om svensk kultur.,I want to learn more about Swedish culture.
en inblandning,Hans inblandning i deras problem gjorde allt mer komplicerat.,His meddling in their problems made everything more complicated.
en signalspaning,En signalspaning hjälper oss att förstå kommunikationen.,A signals intelligence helps us understand communication.
en svininfluensa,En svininfluensa kan vara farlig för vissa människor.,A swine flu can be dangerous for some people.
en liknelse,En liknelse kan göra en berättelse mer levande.,A simile can make a story more vivid.
beväpnad,Han var beväpnad med en pistol.,He was armed with a gun.
härligt,Det är härligt att vara ute i solen.,It is lovely to be outside in the sun.
ett ingripande,Det var ett ingripande som förändrade allt.,It was an intervention that changed everything.
pigg,Jag är pigg och redo för en lång promenad.,I am lively and ready for a long walk.
en bebyggelse,Det finns en bebyggelse vid sjön.,There is a settlement by the lake.
fysiskt,Jag tränar fysiskt varje dag.,I train physically every day.
romantisk,Det var en romantisk middag vid havet.,It was a romantic dinner by the sea.
ingående,Vi hade en ingående diskussion om framtiden.,We had a detailed discussion about the future.
en märkning,Det finns en märkning på lådan.,There is a marking on the box.
en lojalitet,En lojalitet är viktig i en vänskap.,A loyalty is important in a friendship.
en penna,Jag behöver en penna för att skriva.,I need a pen to write.
